date,population,admission,release
2023-12-14,105341.94334632347,2807.876091962933,3078.9925429901687
2023-12-15,104998.61260958196,2735.6618062486477,2989.4925429901687
2023-12-16,104743.28187284042,2734.1618062486477,1272.9925429901687
2023-12-17,105428.95113609891,1958.661806248648,1402.100069871889
2023-12-18,105742.38921656167,1716.3714836680026,3506.100069871889
2023-12-19,104768.6606303578,2532.3714836680024,3301.8536930602945
2023-12-20,104057.93204415392,2592.7482952622054,3206.310214799425
2023-12-21,103480.53679128336,2629.0816285955384,3244.6911671803778
2023-12-22,102832.49868126995,2594.0289436917897,2857.6398851290955
2023-12-23,102259.3067251027,2283.8966469105567,1368.5171745063851
2023-12-24,102712.11476893544,1823.896646910557,1309.1997141889246
2023-12-25,102716.9228127682,1315.896646910557,723.5886030778138
2023-12-26,103091.23085660092,1101.896646910557,1751.421936411147
2023-12-27,103294.87223376699,1923.5633135772237,2576.921936411147
2023-12-28,103046.01361093308,2328.063313577223,2590.921936411147
2023-12-29,102964.15498809917,2509.063313577223,2231.1219364111466
2023-12-30,103247.19636526523,2514.1633135772236,1154.121936411147
2023-12-31,104123.2377424313,2030.163313577224,1203.7886030778136
2024-01-01,104781.27911959738,1863.1633135772236,1184.201936411147
2024-01-02,105378.32049676345,1783.1633135772236,3056.1219364111466
2024-01-03,104977.36187392952,2649.9511923651025,3037.7401182293283
2024-01-04,104819.70022079258,2878.221322235232,2949.5258325150426
2024-01-05,104757.14571051279,2887.721322235232,2676.2758325150426
2024-01-06,105163.59120023296,3082.721322235232,1244.025832515043
2024-01-07,105789.8700232865,1872.221322235232,1227.1758325150429
2024-01-08,106202.51551300667,1634.6330395876473,3129.244705502521
2024-01-09,105588.01431220809,2516.2435047039257,2792.244705502521
2024-01-10,105300.01311140945,2503.576838037259,2996.411372169187
2024-01-11,105084.51191061089,2779.854615815037,2993.201227241651
2024-01-12,104984.01070981228,2892.7000264430562,2662.801227241651
2024-01-13,104952.80950901369,2629.6000264430563,1064.801227241651
2024-01-14,105603.94164154844,1717.600026443057,1237.4678939083176
2024-01-15,105829.57377408317,1463.100026443057,1049.1257662487433
2024-01-16,106191.66292789453,1408.416674446043,2635.186304919364
2024-01-17,105761.90305773748,2205.426434762326,2764.9121113709766
2024-01-18,105737.20770370947,2445.7470603732745,2783.8049685138335
2024-01-19,105590.1675694617,2635.931500932715,2654.638301847167
2024-01-20,105645.46076854723,2709.931500932715,1376.4716351805
2024-01-21,106324.42063429946,2056.098167599382,1329.4716351805
2024-01-22,106593.04716671833,1598.0981675993824,3118.8883018471665
2024-01-23,106024.59036580389,2516.5262084536066,2902.841346017481
2024-01-24,105948.39062816041,2826.64160837402,3048.508012684148
2024-01-25,105588.5242238503,2687.6491841315956,2904.4625581386936
2024-01-26,105524.87751650988,2829.4071886667434,2744.284553603546
2024-01-27,106163.59248717394,3382.4995242676505,1327.9512202702124
2024-01-28,106974.30745783808,2138.6661909343175,1478.9964180103254
2024-01-29,107349.4885301971,1858.8441570360123,3323.5025368914444
2024-01-30,106683.72642073792,2656.1795299963846,3035.4512548401626
2024-01-31,106584.28482409926,2935.3429915348465,3119.117921506829
2024-02-01,106287.08681720422,2823.41991461177,3224.417921506829
2024-02-02,106243.58881030919,3181.41991461177,2868.9179215068293
2024-02-03,106799.42413674743,3425.4199146117694,1612.2512548401623
2024-02-04,107310.09279651903,2121.91991461177,1438.7512548401623
2024-02-05,107611.26145629065,1739.9199146117699,3517.822683411591
2024-02-06,106716.12059225273,2904.3484860403414,3313.842921506829
2024-02-07,106308.82258535767,2908.4449146117695,3160.242921506829
2024-02-08,106177.02457846262,3028.4449146117695,3320.742921506829
2024-02-09,105918.72657156756,3062.4449146117695,3076.742921506829
2024-02-10,106381.42856467247,3539.4449146117695,1327.7429215068291
2024-02-11,107179.13055777742,2121.18850435536,1470.0762548401626
2024-02-12,107522.33255088238,1816.94491461177,4549.520699284607
2024-02-13,106179.14565509843,3240.833803500658,1330.7550678146276
2024-02-14,106648.3159021716,1793.925314887822,3189.421734481294
2024-02-15,106306.15281591147,2847.258648221155,3156.498657558217
2024-02-16,106329.87434503595,3180.2201866826936,3029.998657558217
2024-02-17,106310.59587416043,3010.7201866826936,1320.6653242248842
